Date,Time,Trade_ID,Action,Coin,Symbol,Side,Leverage,Entry_Price,Liquidation_Price,Quantity,Notional_USD,Margin_Used,Stop_Loss,Take_Profit,TP_Type,Exit_Price,Exit_Time,PnL_USD,PnL_Percent,Exit_Reason,Trade_Duration_Minutes,Expected_TP_Profit,Monitoring_Status,Liquidation_Safety_Buffer
2025-07-13,15:20:33,PHAUSDT_1752387633,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.09862156,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.10892,15:43:44,0.5314500000180007,0.5314500000180007,EXTERNAL_CLOSE,23.183333333333334,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,15:43:46,PHAUSDT_1752389026,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.09862156,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.10861,15:49:22,0.359400000017998,0.359400000017998,EXTERNAL_CLOSE,5.6,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,15:49:26,PHAUSDT_1752389366,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.09862156,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.10842,15:55:04,0.2539500000180004,0.2539500000180004,EXTERNAL_CLOSE,5.633333333333334,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,15:55:07,PHAUSDT_1752389707,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.09862156,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.1085,17:18:32,0.2983500000179986,0.2983500000179986,EXTERNAL_CLOSE,83.41666666666667,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,17:18:37,PHAUSDT_1752394717,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.0986271,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.10928,18:04:27,0.7312500000180002,0.7312500000180002,EXTERNAL_CLOSE,45.833333333333336,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,18:04:28,PHAUSDT_1752397468,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.0986271,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.10917,18:06:01,0.6702000000180007,0.6702000000180007,EXTERNAL_CLOSE,1.55,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,18:06:03,PHAUSDT_1752397563,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.0986271,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.1085,19:01:16,0.2983500000179986,0.2983500000179986,EXTERNAL_CLOSE,55.21666666666667,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,19:01:20,PHAUSDT_1752400880,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.0986271,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.10904,19:21:26,0.5980500000179979,0.5980500000179979,EXTERNAL_CLOSE,20.1,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,19:21:28,PHAUSDT_1752402088,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.0986271,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.10902,19:56:20,0.5869500000180022,0.5869500000180022,EXTERNAL_CLOSE,34.86666666666667,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,19:56:22,PHAUSDT_1752404182,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.0986271,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.10902,19:56:41,0.5869500000180022,0.5869500000180022,EXTERNAL_CLOSE,0.3166666666666666,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,19:56:42,PHAUSDT_1752404202,ENTRY,PHA,PHAUSDT,long,10,0.1079624324324,0.0986271,555.0,59.919149999982,100,0.1068238141132621,0.109759333333361,Manual Setup,0.109694,20:05:02,0.9610200000179988,0.9610200000179988,TAKE_PROFIT,8.333333333333334,0.9972800000333804,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,20:45:59,1000000BOBUSDT_1752407159,ENTRY,1000000BOB,1000000BOBUSDT,short,10,0.07465,0.0808647,-803.75083724,59.99999999996599,6,0.0764193485397851,0.0734058333333326,Fixed $1 profit,0.07395,21:14:42,0.5626255860679938,9.377093101133232,EXTERNAL_CLOSE,28.716666666666665,0.9999999999999948,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,21:14:42,1000000BOBUSDT_1752408882,ENTRY,1000000BOB,1000000BOBUSDT,short,10,0.07465,0.08086589,-803.0,59.94395,100,0.0764193485397851,0.0734058333333326,Manual Setup,0.07329,21:24:52,1.0920800000000002,1.0920800000000002,TAKE_PROFIT,10.166666666666666,0.9990658333338942,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,22:21:29,ADAUSDT_1752412889,ENTRY,ADA,ADAUSDT,long,15,0.7341,0.68836536,204.27618139,149.959144758399,10,0.7236199863716473,0.750320020442529,ATR SL/TP (1:1.5 R:R),0.7434,22:52:33,1.8997684869269948,18.99768486926995,EXTERNAL_CLOSE,31.066666666666663,3.3133638380675654,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,22:52:35,ADAUSDT_1752414755,ENTRY,ADA,ADAUSDT,long,15,0.7341,0.68836536,204.0,149.7564,100,0.7236199863716473,0.750320020442529,Manual Setup,0.7499,23:19:41,3.2232000000000074,3.2232000000000074,TAKE_PROFIT,27.1,3.308884170275919,COMPLETELY_FIXED_ACTIVE,1.5%
2025-07-13,23:25:32,TRXUSDT_1752416732,ENTRY,TRX,TRXUSDT,long,20,0.30353,0.2901686,658.84833311,199.98023454887831,10,0.30257629963486393,0.3050355505477041,ATR SL/TP (1:1.5 R:R),,,,,,,0.9919294687676746,COMPLETELY_FIXED_ACTIVE,1.5%
